date,team,assists,ats margin,ats streak,biggest lead,blocks,conference,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,line,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points,points in the paint,position,rebounds,rest,season,steals,streak,team rebounds,three pointers attempted,three pointers made,total,turnovers,wins,o:team,o:assists,o:ats margin,o:ats streak,o:biggest lead,o:blocks,o:conference,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:game number,o:line,o:losses,o:margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:playoffs,o:points,o:points in the paint,o:position,o:rebounds,o:rest,o:season,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:total,o:turnovers,o:wins
20101027,Hornets,22,-8.5,0,4,3,Eastern,28,18,73,29,15,24,23,1,6.5,0,-15,-4,-13,-4,0,0,8,0,86,34,0,36,0,2010,8,0,3,13,5,183.5,20,0,Mavericks,29,8.5,0,19,5,Western,34,28,75,41,18,18,15,1,-6.5,0,15,4,13,4,0,0,7,0,101,44,0,41,0,2010,12,0,2,15,4,183.5,16,0
20101027,Nets,17,-0.5,0,6,4,Eastern,35,4,80,39,23,24,17,1,-3.5,0,3,0,3,-8,0,0,9,0,101,48,0,44,0,2010,4,0,11,14,6,190,11,0,Pistons,21,0.5,0,10,3,Eastern,27,19,83,37,19,30,16,1,3.5,0,-3,0,-3,8,0,0,10,0,98,34,0,37,0,2010,7,0,16,19,8,190,6,0
20101027,Pistons,21,0.5,0,10,3,Eastern,27,19,83,37,19,30,16,1,3.5,0,-3,0,-3,8,0,0,10,0,98,34,0,37,0,2010,7,0,16,19,8,190,6,0,Nets,17,-0.5,0,6,4,Eastern,35,4,80,39,23,24,17,1,-3.5,0,3,0,3,-8,0,0,9,0,101,48,0,44,0,2010,4,0,11,14,6,190,11,0
20101027,Nuggets,23,18,0,27,2,Western,34,17,80,35,31,41,34,1,-4,0,22,9,21,20,0,0,12,0,110,42,0,46,0,2010,9,0,6,20,6,205.5,15,0,Jazz,21,-18,0,0,4,Western,33,13,70,27,30,43,31,1,4,0,-22,-9,-21,-20,0,0,11,0,88,36,0,44,0,2010,7,0,11,13,3,205.5,22,0
20101027,Jazz,21,-18,0,0,4,Western,33,13,70,27,30,43,31,1,4,0,-22,-9,-21,-20,0,0,11,0,88,36,0,44,0,2010,7,0,11,13,3,205.5,22,0,Nuggets,23,18,0,27,2,Western,34,17,80,35,31,41,34,1,-4,0,22,9,21,20,0,0,12,0,110,42,0,46,0,2010,9,0,6,20,6,205.5,15,0
20101027,Raptors,20,-6,0,3,5,Eastern,33,17,94,36,20,24,18,1,-1,0,-5,-7,-2,-4,0,0,12,0,93,40,0,45,0,2010,6,0,18,10,3,211.5,11,0,Knicks,12,6,0,16,10,Eastern,36,12,88,38,23,17,15,1,1,0,5,7,2,4,0,0,13,0,98,52,0,49,0,2010,4,0,4,24,7,211.5,15,0
20101027,Knicks,12,6,0,16,10,Eastern,36,12,88,38,23,17,15,1,1,0,5,7,2,4,0,0,13,0,98,52,0,49,0,2010,4,0,4,24,7,211.5,15,0,Raptors,20,-6,0,3,5,Eastern,33,17,94,36,20,24,18,1,-1,0,-5,-7,-2,-4,0,0,12,0,93,40,0,45,0,2010,6,0,18,10,3,211.5,11,0
20101027,Seventysixers,24,-2,0,2,4,Eastern,28,22,83,36,22,11,8,1,8,0,-10,-3,-26,-8,0,0,10,0,87,40,0,38,0,2010,10,0,10,18,7,191,16,0,Heat,15,2,-1,26,6,Eastern,32,20,69,33,18,31,23,2,-8,1,10,3,26,8,0,0,5,0,97,38,0,37,0,2010,8,-1,9,16,8,191,16,0
20101027,Heat,15,2,-1,26,6,Eastern,32,20,69,33,18,31,23,2,-8,1,10,3,26,8,0,0,5,0,97,38,0,37,0,2010,8,-1,9,16,8,191,16,0,Seventysixers,24,-2,0,2,4,Eastern,28,22,83,36,22,11,8,1,8,0,-10,-3,-26,-8,0,0,10,0,87,40,0,38,0,2010,10,0,10,18,7,191,16,0
20101027,Spurs,29,4,0,18,5,Western,26,22,83,42,21,36,29,1,-9,0,13,6,3,1,0,0,9,0,122,40,0,35,0,2010,15,0,9,20,9,203.5,14,0,Pacers,20,-4,0,3,6,Eastern,27,24,77,41,26,28,19,1,9,0,-13,-6,-3,-1,0,0,9,0,109,38,0,36,0,2010,9,0,13,21,8,203.5,23,0
