pid,pname,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,POS
585,D.J. Stephens,3,0,15,3,7,0.429,0,0,,3,7,0.429,0.429,1,1,1,1,4,5,0,0,0,0,0,7,SG
586,Lance Stephenson,314,186,7840,1051,2348,0.448,189,619,0.305,862,1729,0.499,0.488,324,483,0.671,213,1105,1318,949,222,39,547,614,2615,SG
587,Greg Stiemsma,203,42,3048,269,529,0.509,0,1,0,269,528,0.509,0.509,103,146,0.705,190,489,679,97,118,232,143,512,641,C
588,David Stockton,3,0,33,2,6,0.333,1,2,0.5,1,4,0.25,0.417,3,6,0.5,0,2,2,9,2,0,4,1,8,PG
589,Jarnell Stokes,26,2,144,24,42,0.571,0,0,,24,42,0.571,0.571,16,30,0.533,17,21,38,5,6,5,7,26,64,C
590,Julyan Stone,47,2,327,22,50,0.44,4,19,0.211,18,31,0.581,0.48,13,18,0.722,9,39,48,51,12,6,18,35,61,SG
591,Amar'e Stoudemire,819,670,25847,5840,10892,0.536,30,127,0.236,5810,10765,0.54,0.538,4119,5414,0.761,1997,4526,6523,1040,627,1032,1928,2626,15829,C
592,Rodney Stuckey,587,301,16745,2749,6473,0.425,247,826,0.299,2502,5647,0.443,0.444,1967,2379,0.827,409,1376,1785,2194,534,92,1100,1270,7712,PG
593,Jared Sullinger,231,144,5765,1031,2353,0.438,130,475,0.274,901,1878,0.48,0.466,366,498,0.735,613,1150,1763,411,151,149,298,708,2558,PF
594,DaJuan Summers,83,7,820,103,268,0.384,29,79,0.367,74,189,0.392,0.438,43,67,0.642,24,58,82,29,18,8,37,104,278,SF
595,Walter Tavares,10,0,69,10,18,0.556,0,0,,10,18,0.556,0.556,3,8,0.375,7,13,20,2,1,6,5,8,23,C
596,Jermaine Taylor,65,12,786,139,315,0.441,19,67,0.284,120,248,0.484,0.471,54,74,0.73,47,61,108,48,24,8,65,54,351,SG
597,Jeff Taylor,132,50,2566,299,731,0.409,82,257,0.319,217,474,0.458,0.465,127,191,0.665,80,183,263,107,72,21,92,234,807,SF
598,Tyshawn Taylor,61,3,491,63,178,0.354,9,25,0.36,54,153,0.353,0.379,39,57,0.684,5,28,33,57,25,1,56,54,174,PG
599,Jeff Teague,491,356,12749,2120,4738,0.447,374,1066,0.351,1746,3672,0.475,0.487,1224,1457,0.84,149,889,1038,2486,586,164,1059,896,5838,PG
600,Marquis Teague,88,3,835,81,232,0.349,9,41,0.22,72,191,0.377,0.369,35,51,0.686,4,80,84,121,19,12,74,93,206,PG
601,Mirza Teletovic,217,12,3737,592,1455,0.407,342,914,0.374,250,541,0.462,0.524,145,195,0.744,148,561,709,177,72,63,170,350,1671,PF
602,Sebastian Telfair,564,193,12149,1542,3953,0.39,361,1133,0.319,1181,2820,0.419,0.436,738,950,0.777,151,747,898,1960,413,75,859,1196,4183,PG
603,Garrett Temple,277,87,4333,425,1082,0.393,143,440,0.325,282,642,0.439,0.459,200,286,0.699,102,358,460,386,194,60,220,423,1193,SG
604,Jason Terry,1258,675,39355,6692,15032,0.445,2134,5623,0.38,4558,9409,0.484,0.516,2732,3232,0.845,475,2614,3089,5214,1498,239,2335,2402,18250,SG
605,Hasheem Thabeet,224,20,2357,182,321,0.567,0,0,,182,321,0.567,0.567,119,206,0.578,203,392,595,27,59,184,123,453,483,C
606,Adonis Thomas,6,1,37,6,14,0.429,1,5,0.2,5,9,0.556,0.464,1,1,1,0,3,3,3,0,0,1,6,14,SF
607,Isaiah Thomas,338,206,9786,1836,4201,0.437,561,1558,0.36,1275,2643,0.482,0.504,1367,1575,0.868,187,670,857,1685,334,28,752,739,5600,PG
608,Lance Thomas,218,61,3896,442,1002,0.441,44,113,0.389,398,889,0.448,0.463,261,330,0.791,188,358,546,143,78,29,164,350,1189,SF
609,Malcolm Thomas,40,0,329,30,69,0.435,1,11,0.091,29,58,0.5,0.442,15,25,0.6,27,69,96,14,6,7,25,30,76,PF
610,Tyrus Thomas,402,129,7932,1147,2620,0.438,8,34,0.235,1139,2586,0.44,0.439,791,1080,0.732,550,1388,1938,347,328,525,527,989,3093,PF
611,Hollis Thompson,199,66,4891,559,1317,0.424,271,684,0.396,288,633,0.455,0.527,153,218,0.702,158,456,614,212,130,54,186,403,1542,SG
612,Jason Thompson,567,406,14519,2080,4188,0.497,1,27,0.037,2079,4161,0.5,0.497,960,1466,0.655,1241,2557,3798,625,274,402,739,1711,5121,PF
613,Klay Thompson,356,319,11507,2373,5304,0.447,945,2257,0.419,1428,3047,0.469,0.536,714,844,0.846,140,1010,1150,831,323,196,640,848,6405,SG
614,Tristan Thompson,358,226,10243,1370,2761,0.496,0,6,0,1370,2755,0.497,0.496,766,1215,0.63,1216,1852,3068,284,179,252,434,874,3506,PF
615,Marcus Thornton,436,132,10500,1998,4686,0.426,689,1917,0.359,1309,2769,0.473,0.5,728,876,0.831,378,859,1237,617,373,57,455,674,5413,SG
616,Jamaal Tinsley,547,404,14443,1759,4481,0.393,397,1326,0.299,1362,3155,0.432,0.437,737,1029,0.716,345,1260,1605,3330,776,155,1375,1306,4652,PG
617,Anthony Tolliver,436,66,8633,891,2174,0.41,458,1281,0.358,433,893,0.485,0.515,410,530,0.774,384,1168,1552,384,164,137,266,728,2650,PF
618,Karl-Anthony Towns,54,54,1627,380,699,0.544,18,48,0.375,362,651,0.556,0.557,144,169,0.852,150,397,547,78,34,98,113,162,922,C
619,Nikoloz Tskitishvili,172,16,1946,190,626,0.304,43,183,0.235,147,443,0.332,0.338,84,115,0.73,109,198,307,114,46,50,126,227,507,PF
