pid,pname,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,POS
620,P.J. Tucker,309,241,8488,886,2020,0.439,227,640,0.355,659,1380,0.478,0.495,388,519,0.748,508,1202,1710,477,350,79,340,672,2387,SF
621,Ronny Turiaf,473,105,8020,856,1607,0.533,0,7,0,856,1600,0.535,0.533,497,782,0.636,520,1237,1757,618,181,593,358,1116,2209,C
622,Evan Turner,443,233,12612,1901,4430,0.429,175,589,0.297,1726,3841,0.449,0.449,744,959,0.776,262,2022,2284,1647,358,96,877,917,4721,SF
623,Myles Turner,31,8,628,131,246,0.533,0,2,0,131,244,0.537,0.533,46,71,0.648,37,117,154,15,8,43,25,72,308,C
624,Jeremy Tyler,104,23,1034,157,349,0.45,0,1,0,157,348,0.451,0.45,59,106,0.557,98,171,269,25,23,42,68,164,373,C
625,Ekpe Udoh,270,52,4564,409,953,0.429,0,3,0,409,950,0.431,0.429,254,353,0.72,361,499,860,179,124,324,189,573,1072,C
626,Beno Udrih,789,272,17586,2644,5711,0.463,453,1299,0.349,2191,4412,0.497,0.503,974,1173,0.83,301,1350,1651,2722,563,71,1138,1243,6715,PG
627,Jonas Valanciunas,258,252,6777,1103,1998,0.552,0,2,0,1103,1996,0.553,0.552,659,853,0.773,676,1431,2107,171,89,285,393,748,2865,C
628,Anderson Varejao,591,208,14773,1778,3472,0.512,1,42,0.024,1777,3430,0.518,0.512,928,1469,0.632,1479,2955,4434,709,529,397,578,1579,4485,C
629,Jarvis Varnado,37,0,397,39,67,0.582,0,0,,39,67,0.582,0.582,29,56,0.518,21,51,72,16,11,31,16,72,107,PF
630,Greivis Vasquez,391,157,9382,1370,3263,0.42,407,1158,0.351,963,2105,0.457,0.482,421,514,0.819,124,885,1009,1910,232,33,742,752,3568,PG
631,Rashad Vaughn,45,0,527,41,130,0.315,25,71,0.352,16,59,0.271,0.412,8,9,0.889,8,46,54,16,14,7,17,39,115,SG
632,Jan Vesely,162,25,2455,263,505,0.521,0,2,0,263,503,0.523,0.521,64,157,0.408,225,337,562,96,107,84,123,384,590,PF
633,Charlie Villanueva,638,163,13441,2625,6027,0.436,702,2061,0.341,1923,3966,0.485,0.494,782,1015,0.77,788,2197,2985,545,324,345,644,1440,6734,PF
634,Noah Vonleh,75,39,1060,105,251,0.418,9,38,0.237,96,213,0.451,0.436,44,58,0.759,93,200,293,29,27,24,39,119,263,PF
635,Nikola Vucevic,308,271,9277,1959,3851,0.509,6,24,0.25,1953,3827,0.51,0.509,441,606,0.728,926,2111,3037,571,234,269,525,845,4365,C
636,Sasha Vujacic,516,37,8078,978,2500,0.391,480,1311,0.366,498,1189,0.419,0.487,381,441,0.864,183,780,963,657,310,29,294,807,2817,SG
637,Dwyane Wade,831,821,29814,7150,14634,0.489,386,1345,0.287,6764,13289,0.509,0.502,5062,6614,0.765,1057,2969,4026,4835,1387,743,2811,1929,19748,SG
638,Dion Waiters,264,104,7536,1338,3244,0.412,285,857,0.333,1053,2387,0.441,0.456,514,727,0.707,120,566,686,659,266,63,468,523,3475,SG
639,Henry Walker,181,35,3016,386,865,0.446,190,515,0.369,196,350,0.56,0.556,117,154,0.76,55,346,401,153,93,27,142,375,1079,SF
640,Kemba Walker,335,290,11245,2000,5001,0.4,469,1436,0.327,1531,3565,0.429,0.447,1215,1480,0.821,207,1065,1272,1787,489,144,703,521,5684,PG
641,Gerald Wallace,832,611,24731,3516,7492,0.469,407,1303,0.312,3109,6189,0.502,0.496,2494,3517,0.709,1145,3693,4838,1725,1200,681,1486,1829,9933,SF
642,John Wall,395,383,14212,2574,5976,0.431,297,938,0.317,2277,5038,0.452,0.456,1644,2086,0.788,223,1513,1736,3487,671,254,1482,935,7089,PG
643,Casper Ware,9,0,116,18,42,0.429,7,21,0.333,11,21,0.524,0.512,5,6,0.833,0,9,9,10,8,0,5,11,48,PG
644,T.J. Warren,87,5,1684,334,655,0.51,33,91,0.363,301,564,0.534,0.535,59,83,0.711,98,134,232,69,55,25,59,145,760,SF
645,C.J. Watson,513,93,10581,1387,3270,0.424,430,1126,0.382,957,2144,0.446,0.49,755,938,0.805,196,821,1017,1308,505,60,584,771,3959,PG
646,Maalik Wayns,29,1,211,27,90,0.3,7,31,0.226,20,59,0.339,0.339,17,19,0.895,1,8,9,29,8,0,15,30,78,PG
647,David Wear,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,,2,0,2,1,0,0,0,1,0,PF
648,Travis Wear,51,1,672,84,209,0.402,11,30,0.367,73,179,0.408,0.428,20,26,0.769,31,75,106,40,15,11,35,55,199,SF
649,Martell Webster,580,266,13914,1696,4062,0.418,790,2067,0.382,906,1995,0.454,0.515,874,1105,0.791,352,1459,1811,588,299,160,536,1055,5056,SF
650,Sonny Weems,171,47,3201,502,1074,0.467,32,109,0.294,470,965,0.487,0.482,126,177,0.712,86,301,387,249,83,27,191,256,1162,SG
651,Russell Westbrook,560,543,19059,4210,9696,0.434,467,1545,0.302,3743,8151,0.459,0.458,3111,3798,0.819,924,2136,3060,4149,983,159,2067,1357,11998,PG
652,David West,867,738,26779,5263,10713,0.491,49,195,0.251,5214,10518,0.496,0.494,2443,2983,0.819,1642,4403,6045,1935,656,705,1481,2139,13018,PF
653,D.J. White,138,11,2111,348,687,0.507,1,3,0.333,347,684,0.507,0.507,113,157,0.72,117,320,437,80,39,57,65,199,810,PF
654,Hassan Whiteside,112,72,2524,484,785,0.617,0,0,,484,785,0.617,0.617,174,333,0.523,297,718,1015,21,54,313,152,257,1142,C
655,Royce White,3,0,9,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,2,0,PF
656,Shayne Whittington,24,0,118,21,45,0.467,1,6,0.167,20,39,0.513,0.478,18,23,0.783,11,21,32,8,6,3,7,21,61,PF
657,Andrew Wiggins,135,135,4831,889,2014,0.441,70,253,0.277,819,1761,0.465,0.459,639,849,0.753,216,353,569,266,129,82,291,306,2487,SG
658,C.J. Wilcox,29,0,124,19,50,0.38,7,20,0.35,12,30,0.4,0.45,2,2,1,1,8,9,10,3,1,10,8,47,SG
659,Damien Wilkins,563,149,10839,1331,3118,0.427,201,609,0.33,1130,2509,0.45,0.459,708,904,0.783,436,910,1346,787,429,129,519,938,3571,SF
660,Deron Williams,762,708,26579,4519,10145,0.445,1061,2973,0.357,3458,7172,0.482,0.498,2735,3329,0.822,333,2083,2416,6328,819,194,2220,1944,12834,PG
661,Derrick Williams,350,92,7531,1125,2622,0.429,200,691,0.289,925,1931,0.479,0.467,789,1107,0.713,318,1147,1465,236,176,98,343,451,3239,PF
662,Elliot Williams,109,2,1470,193,458,0.421,54,174,0.31,139,284,0.489,0.48,97,145,0.669,38,123,161,94,45,6,78,158,537,SG
663,Lou Williams,686,88,16084,2712,6534,0.415,758,2227,0.34,1954,4307,0.454,0.473,2197,2684,0.819,249,1159,1408,2005,600,119,966,952,8379,PG
664,Mo Williams,811,525,23811,4041,9300,0.435,1087,2877,0.378,2954,6423,0.46,0.493,1563,1795,0.871,405,1852,2257,3985,718,121,1846,2001,10732,PG
665,Marvin Williams,757,570,21800,2839,6389,0.444,538,1552,0.347,2301,4837,0.476,0.486,1668,2078,0.803,962,2951,3913,981,576,373,790,1598,7884,SF
666,Marcus Williams,13,0,39,7,22,0.318,0,0,,7,22,0.318,0.318,0,0,,4,8,12,3,1,1,0,4,14,PF
667,Reggie Williams,200,32,3657,591,1290,0.458,194,534,0.363,397,756,0.525,0.533,195,261,0.747,103,384,487,297,85,13,142,239,1571,SF
668,Shawne Williams,314,58,5368,650,1612,0.403,275,812,0.339,375,800,0.469,0.489,194,257,0.755,247,698,945,220,127,156,197,656,1769,SF
669,Justise Winslow,50,3,1388,110,263,0.418,23,89,0.258,87,174,0.5,0.462,43,60,0.717,42,211,253,66,37,18,67,118,286,SF
670,Jeff Withey,133,13,1501,173,325,0.532,0,2,0,173,323,0.536,0.532,124,176,0.705,120,242,362,54,38,116,58,160,470,C
671,Nate Wolters,79,31,1556,190,446,0.426,18,69,0.261,172,377,0.456,0.446,61,96,0.635,41,142,183,208,43,17,70,85,459,PG
672,Christian Wood,14,0,114,19,43,0.442,4,9,0.444,15,34,0.441,0.488,9,13,0.692,10,22,32,3,5,5,2,9,51,PF
673,Brandan Wright,367,54,6029,1112,1836,0.606,0,11,0,1112,1825,0.609,0.606,387,570,0.679,514,854,1368,169,170,374,178,488,2611,PF
674,Chris Wright,32,1,312,44,80,0.55,0,1,0,44,79,0.557,0.55,30,46,0.652,29,36,65,9,14,18,13,39,118,SF
675,Delon Wright,14,0,41,4,14,0.286,2,3,0.667,2,11,0.182,0.357,3,6,0.5,1,6,7,4,1,0,3,3,13,PG
676,Dorell Wright,549,222,12280,1657,3908,0.424,617,1691,0.365,1040,2217,0.469,0.503,666,826,0.806,375,1718,2093,850,418,271,475,790,4597,SF
677,Tony Wroten,145,34,3076,575,1393,0.413,84,363,0.231,491,1030,0.477,0.443,370,572,0.647,106,257,363,437,137,28,375,268,1604,PG
678,James Young,51,0,493,46,133,0.346,22,87,0.253,24,46,0.522,0.429,17,33,0.515,12,52,64,20,13,3,8,35,131,SG
679,Joseph Young,28,0,255,42,107,0.393,8,29,0.276,34,78,0.436,0.43,18,23,0.783,5,25,30,41,11,0,21,19,110,PG
680,Nick Young,566,131,13227,2399,5720,0.419,730,1963,0.372,1669,3757,0.444,0.483,1210,1452,0.833,213,931,1144,582,317,111,628,1063,6738,SG
681,Sam Young,249,52,3966,560,1266,0.442,49,175,0.28,511,1091,0.468,0.462,267,360,0.742,163,410,573,180,134,57,204,311,1436,SF
682,Thaddeus Young,646,416,19710,3834,7717,0.497,251,785,0.32,3583,6932,0.517,0.513,1044,1520,0.687,1287,2458,3745,967,910,252,938,1422,8963,PF
683,Cody Zeller,189,80,4020,486,1065,0.456,2,12,0.167,484,1053,0.46,0.457,383,514,0.745,297,697,994,234,113,122,192,462,1357,C
684,Tyler Zeller,266,126,5184,822,1628,0.505,0,5,0,822,1623,0.506,0.505,395,511,0.773,442,842,1284,262,79,169,264,649,2039,C
